annotator_id,age,gender,anime_familiarity,category,reason_en,freeform_responses
A095,30s,Male,High,Prosodic Salience,Repeatedly responds with 'distinct voice dynamics (intonation)' as the top criterion,"['フレーズの一部が強調されていたり、感情がダイレクトに伝わる高低差があればアニメらしいと感じます。', '声に強弱があり、はっきりと感情が伝わっていると、アニメらしいと感じます。', '音声にはっきりとした強弱があり、プラスの感情やマイナスの感情がはっきり伝わってこれば、アニメらしいと感じます。', '少し聴くだけで感情がすぐに読み取れるものは、アニメらしいと感じます。', '声の強弱がはっきりとしていて、あまり速すぎない話し方であればアニメらしいと感じます。', '少し遅めのテンポで感情が込められた音声がアニメらしいと感じます。', '声に抑揚があり、ゆっくりめに話していると、アニメらしいと感じます。', '声に抑揚があり、少し遅めのテンポで話していれば、アニメらしいと感じます。', '抑揚があり、感情が多く込められていれば、アニメらしいと思います。', 'はっきりとした抑揚があり、多くの感情を読み取ることが出来ればアニメらしいと感じます。', '高低差や抑揚がある声がアニメらしいと思います。', 'はっきりとした抑揚があり、感情が込められていればアニメらしいと思います。']"
A096,50s or older,Male,High,Prosodic Salience,Cites 'undulation (intonation) in speech style' and 'distinctive accent' as main reasons,"['話し方に、感情がのせられている。', 'セリフの言い方が芝居がかっているというか、アクセントのつけ方が大げさ。それでいて、不自然さを感じないのがアニメらしい。', '話し方に起伏があり、感情が伝わってくるような話し方がアニメらしい。', '話し方にメリハリがあり、感情が伝わってくる。', 'アクセントがはっきりしていて、セリフに感情がのっている', '話し方がはっきりしていて、感情が伝わってくる。', '芝居がかかった話し方をしているのに、自然に聞こえる。', '話し方に独特のアクセントがある。', '会話のアクセントに独特のクセがある。', '話し方に独特のアクセントがある', '話し方のアクセントに独特のクセがある。']"
A097,30s,Male,High,Timbre Difference,Explains 'timbre having distinctive characteristics or a lustrous quality' as the reason,"['声質に特徴があったり艶のある声がアニメらしいと思います。', '聴いていて声が良いと感じるところ']"
A098,40s,Male,High,Timbre Difference,First points to 'distinctive timbre',['声質が独特で、芝居ぽく、聞き取りやすい明確な発声、徳陽が大きく感情的な声']
A099,50s or older,Male,Medium,Timbre Difference,Mentions the timbral intensity of 'the voice having impact',"['声にインパクトがある', 'インパクトのある声']"
A100,50s or older,Male,High,Prosodic Salience,Emphasizes the prosodic aspect of 'individualistic pronunciation or accent pattern',"['発音やアクセントのつけ方などに個性がある', '発音やアクセントのつけ方などが個性的', '活舌に優れ、発音やアクセントなどにずば抜けた個性がある', 'オリジナリティの高い声質や話し方']"
A101,30s,Male,Medium,Prosodic Salience,Consistently answers 'the voice tone is distinct',"['声のトーンが整っていること', '声のトーンがはっきりしている', '声のトーンがはっきりしている。']"
A102,30s,Male,High,Emotional Explicitness,Cites 'emotional expression being slightly exaggerated' as the reason,"['感情の表現が少し大げさな感じであるもの。', '感情の表現が大きいような声など', '感情で音程がはっきりと上下するような声など']"
A103,20s or younger,Female,High,Temporal Control,"First identifies temporal elements such as 'good tempo' and 'clean, gap-free pacing'","['現実の会話より音がクリアで、耳にスッと入ってくる', 'テンポの良さかな。会話の一言一言がキレよくて、無駄な間がない感じ。', 'キャラごとにテンポや強弱が違うから、音だけでもそのキャラだとわかるレベル', '声だけで不安や恋心を表現しやすいのがアニメらしい。', '息づかいや笑い方、叫びがドラマチック']"
A104,50s or older,Female,High,Timbre Difference,Emphasizes 'adjusted so that personality can be understood from timbre alone',"['息の吸い方吐き方まで表現の一部になっていて、キャラに実在感を与えてくれる。', 'クール系は低めで余韻が少なく、元気系は明るく跳ねるような声など、声質だけで性格が分かるように調整されている。']"
A105,50s or older,Male,High,Timbre Difference,Mentions the timbral identity of 'character-like voice',"['声が情景に合っている', 'キャラクターのような声が聞こえる', 'キャラクターらしさがある']"
A106,40s,Male,High,Temporal Control,First mentions 'taking large dramatic pauses in dialogue',"['喉で声を作っている感じがある、音程が高すぎたり低すぎたりする、声にブレが少ない', '声が高いか低すぎる、普通のセリフも朗読のように話す', '必要以上に仰々しさがある', '声の抑揚が激しく変わる', 'セリフの溜めが大きい', '普通から外れて個性が出そうとしている', '声だけで演技するため、過剰な表現が多い。', '幼すぎたり渋すぎたり極端な声質', '声にキャラクター性がある', '幼さを強調している', '個性的な声', '感情が強く表現されている']"
A107,40s,Male,Medium,Timbre Difference,Identifies 'distinctive voice actor voice quality/timbre' as the key factor,"['声優独特の音量・音質・テンポ・言い回し・耳障り', '声優独特の言い回し、音質・音量・イントネーション、昔ながらの声', '声優独特の言い回し、音量・音量・イントネーション、昔ながらの声', '声優独特の音量・音質・イントネーション・言い回し、昔ながらの声']"
A108,30s,Female,Medium,Timbre Difference,Explains 'constructed timbre' and 'deliberate/intentional quality' as the reason,['つくった声質。\r\nわざとらしい。\r\n大袈裟。\r\nはっきりした発声と滑舌。\r\n感情の抑揚が大きい。']
A109,40s,Male,High,Articulation Clarity,Emphasizes the clarity of 'being able to clearly understand any line of dialogue',['どんなセリフでも言葉がはっきりと聞き取れる。抑揚や感情表現がしっかりしていて人物の表情などが想像しやすい。']
A110,40s,Male,Medium,Timbre Difference,First mentions 'the voice actor's timbre being anime-like',"['声質がアニメ独特の雰囲気がある。また、話をしているときの抑揚が大きい。', '声質が声優ならではの雰囲気がある。会話の際の抑揚が大きく感じる。一つ一つの文字が比較的はっきりと聞こえる。', '声優の声質がアニメらしい雰囲気がある。会話の抑揚が大きい。一つ一つの文字が比較的はっきり聞こえる。', '声優の声質に独特の雰囲気を感じる。会話の抑揚が大きい。一つ一つの文字が比較的はっきりと聞こえる。']"
A111,40s,Female,Medium,Emotional Explicitness,Emphasizes expressiveness of 'scenes coming to mind because emotions are conveyed',['感情が込められていて、すぐに情景が浮かぶ。']
A112,40s,Female,Low,Emotional Explicitness,Points to the performance characteristic of 'heavily and thoroughly exaggerated',"['現実のそれとは違い、大げさで誇張が激しい一方、聞き取りやすく、テンポがややゆっくりな話し方が多い印象。', 'ややゆっくりで大げさ、現実的ではないキザな話し方という印象。', 'ねっとりした声で大げさ']"
A113,40s,Male,High,Emotional Explicitness,Emphasizes 'acting with distinct intonation' and 'whether the acting is committed/proper',"['抑揚のある演技をしていること。単純な口語ではないこと。', 'オーバーでもいいので、しっかりと演技をしているかどうか。']"
A114,50s or older,Male,High,Emotional Explicitness,Repeatedly emphasizes 'speech style being imbued with emotion',"['抑揚がしっかりついていて感情豊かだと思います。', '話し方に感情がこもっている', 'セリフの１つ１つに感情がこもっている', '感情がとても豊かである', 'セリフに感情がはっきりと現れる', 'テンポがゆっくりで抑揚がはっきりしている']"
A115,40s,Female,Medium,Timbre Difference,"Emphasizes across all responses that it is 'a constructed voice, not the natural everyday voice'","['地声ではない作った声感があることとハキハキと聞き取りやすくしゃべっていること。', '地声ではなく作った声でハキハキとしゃべっている。', '地声ではなく作った声で、ハキハキと感情をこめてしゃべっている。', '地声ではない作った声でハキハキと抑揚をつけてしゃべっている', 'ハキハキと喋っている、演技がかった口調、地声ではない作ったような声などがアニメっぽいと思います。', 'はきはきとした喋り方、演技がかった口調、明らかに地声とは違いそうな作った声などがアニメっぽいと思います。']"
A116,40s,Male,High,Emotional Explicitness,Views 'acting quality verging on the grandiose/overly solemn' as the core,"['言葉の輪郭が明瞭で聞き取りやすい。抑揚がはっきりしていて、感情を読み取りやすい。', '少々仰々しいくらいの演技感がある。', '声優は二次元のキャラクターに命を吹き込むので、少し仰々しいくらいに芝居をする。', '台本があるので発声に淀みがない。キャラに命を吹き込むため、抑揚が大きめ。', '声質がくっきり明瞭で、込められた感情を読み取りやすい', 'メリハリのきいた演技', '芝居がかっている。']"
A117,30s,Male,Medium,Prosodic Salience,Cites 'intonated and intentionally theatrical feeling' as the reason,['抑揚があってわざとらしい感じの声']
A118,40s,Male,Medium,Emotional Explicitness,Emphasizes expressiveness of 'conveying emotion by adding dynamic contrast to dialogue',['セリフに強弱をつけ、感情をこめる']
A119,40s,Male,Medium,Emotional Explicitness,Points to 'exaggerated speech style in the acting tone',['それっぽい声、演技がかった大げさな喋り方']
A120,30s,Male,Medium,Prosodic Salience,"Provides the short, clear reason of 'distinct intonation'",['抑揚がはっきりしている']
A121,30s,Male,High,Timbre Difference,Commonly mentions 'characteristic voice (timbre)' before emotional expression,"['特徴的な声質・はっきりとわかりやすい感情表現', '特徴的な声質、わかりやすい感情表現', '特徴的な声・わかりやすい感情表現', '特徴的な声・はっきりとわかりやすい感情表現', '特徴的な声・ハキハキとした感情表現']"
A122,40s,Female,Medium,Emotional Explicitness,Cites 'emotion being carried in the voice' as the reason,['声に感情が乗っている。']
A123,40s,Male,Medium,Timbre Difference,Explains 'characteristic timbre' as the reason,['特徴的な声質']
A124,40s,Male,Medium,Articulation Clarity,Emphasizes the clarity of 'clear diction making it easy to understand',"['滑舌がハッキリしていて聞き取りやすい\r\n声にどこかネットリとした感じがある', '早口にならないので聞き取りやすい', '言い淀みが無く、スラスラと言葉を並べている感じ', '聞き取りやすいテンポと滑舌']"
A125,40s,Male,Medium,Temporal Control,Identifies 'distinctive pausing/spacing' as the characteristic,"['もったいぶった話し方と独特な間がある', '話す声質が一般人よりかっこいい']"
A126,40s,Male,Medium,Articulation Clarity,Repeatedly emphasizes 'crisp/distinct voice' and 'clear articulation',"['ハキハキした声であり、男性だったら、より男性らしく、女性だったら、より女性らしい声がアニメらしい声と考えます。またセリフの一声一声ごとにしっかりと感情移入がなされている声であるとも考えます。', 'ハキハキしていて、感情が込められている声がアニメらしいと感じます。また、男性はより男性らしく、女性はより女性らしい声が、アニメらしいと感じます。', 'ハキハキと話す声である。感情移入がしっかりとなされている声である。男は、より男らしく、女は、より女らしい声である。', 'ハキハキしていること。感情移入がしっかりとなされている音声であること。男性はより男性らしい声で、女性はより女性らしい声であること。', 'アニメの声というものは、声そのものがキャラクターを表していて、声からどんなキャラクターであるかがわかることがアニメらしさだと思います。', '私の考えるアニメらしさ、アニメらしい声というのは、声だけでキャラクターが立っている、ハキハキしている、一音一音がはっきりしている、といった声だと思います。']"
A127,50s or older,Female,High,Emotional Explicitness,Emphasizes expressiveness of 'breath/vitality being felt in the voice',['聲に息吹を感じる事']
A128,40s,Female,High,Articulation Clarity,Mentions 'easy-to-understand speech' clarity before intonation,['よく通る声で言葉が聞き取りやすく、抑揚があること。']
A129,40s,Female,Medium,Emotional Explicitness,First identifies 'performing with exaggerated acting',['大げさな演技をする。はっきりと話す。']
A130,30s,Male,Medium,Emotional Explicitness,Emphasizes 'acting without dissonance in an unrealistic world',['非現実世界に対する違和感のない演技']
A131,40s,Male,High,Articulation Clarity,Mentions 'clear diction/articulation' before emotion,"['はっきりとした滑舌', '感情をこめて大げさな感じで話す']"
A132,40s,Female,High,Prosodic Salience,Mentions 'having intonation' before timbre,['声質に深さがある。抑揚があって、広い範囲に語りかけているイメージ。']
A133,30s,Male,High,Timbre Difference,First identifies the physical timbral characteristic of 'high-pitched voice',"['声が高い\u3000かっこよさげに感じる', '声が高い\u3000発音がはっきりしている', 'わりと声が高め\u3000はっきりとした口調']"
A134,40s,Male,High,Emotional Explicitness,Uses 'whether immersed/committed in the character role' as the criterion,['キャラクター役になりきれているか否か']
A135,50s or older,Male,High,Timbre Difference,First mentions the timbral characteristic of 'cute voice quality',['音質が可愛らしく、テンポが早いことです。']
A136,30s,Female,Medium,Timbre Difference,Cites 'anime-like voice quality' as the reason,['音質がアニメちっく']
A137,30s,Male,High,Emotional Explicitness,Emphasizes 'over-the-top acting performance' as the top priority across all responses,"['オーバー気味のお芝居とかっこつけたような話し方。声に含まれるノイズが少なくハキハキしている。', 'オーバー気味なお芝居。ノイズの少ないハキハキ声。', 'オーバーな芝居とノイズの少ない声', 'オーバーな芝居とノイズの少ない声。', 'オーバーなお芝居。ノイズ少ないハキハキ声。', 'オーバーな演技。ノイズ少ない声。', 'オーバーなお芝居。ノイズの少ない声。', '持って回ったような、ねっとりと芝居がかったしゃべり方。']"
A138,50s or older,Male,High,Emotional Explicitness,Views 'being able to perform through voice alone' as the core acting ability,"['聞き取りやすく、声のみで演技ができている声。', '台詞を聞き取りやすく、声で演技ができている声']"
A139,20s or younger,Male,Medium,Prosodic Salience,Mentions 'distinct voice intonation' before unrealistic dialogue,"['声の抑揚がはっきりしている。「厨二」感あふれ出た台詞。現実では言うはずの無い表現が多い。現実感のない言葉。', '声の抑揚がはっきりしている。「厨二」感があふれ出ている。現実では中々聞かない萌え声、低音ボイス。']"
A140,50s or older,Male,Medium,Timbre Difference,Cites 'a voice tone that would not ordinarily exist' as the reason,['一般的にはありえないような声のトーン']
A141,50s or older,Male,High,Prosodic Salience,First presents 'exaggerated intonation',['抑揚が大げさで感情表現に誇張がある、男性も女性も鼻にかかったような甘ったるい声質であることが多い、内容的にシリアスさや勇壮さを含むセリフの読み上げ方にアニメ特有の調子がある、キャラクターパターンを声優さんが共有しているかのように聞こえる没個性的な演技が多くなってきている、こういったことがアニメらしさであるように個人的に思います。']
A142,20s or younger,Female,High,Articulation Clarity,Explains 'more intelligible than an actual speaking voice (clarity)' as the reason,['実際の声より通っている\r\n間があって聞き取りやすい\r\n感情がはっきりしていて大きい']
A143,40s,Male,Medium,Emotional Explicitness,Comprehensively emphasizes 'over-the-top speech (exaggerated)' and 'richness of emotional expression',"['しゃべり方が大げさで力が入っている、キザっぽいことでも平気で言う、といった感じです。', '感情表現が豊かで、話し方がなんとなく粘着質っぽいです（ねちっこい）。', 'どんなときでも声が大きくて、はっきり聞こえやすいです。', '声優の声が太かったり甲高かったりと、声にクセがあるように思います。', '声がきついと言いますか、一般人の話し方と比べると声の圧力が強い気がします。', '話し方が丁寧で聞き取りやすくて、感情が入っているというところです。', '話し方にかなり抑揚があって、絵を見ていなくても聞いているだけで話しているキャラの感情やそのシーンの重要性などがよく伝わってきます。', '大きな声でも小声でもとにかくはっきりしゃべっている印象です。また、気持ちや感情をこめて発話していると思います。', '声優の方が感情的というのもありますが、感情的でないときでも少々オーバーな言い回し（大袈裟）をすると思います。']"
A144,50s or older,Male,Low,Timbre Difference,"Emphasizes 'timbre that values luster/sheen' and 'edge-defined, crisp sound'","['発話に必ず意味というか、存在感がある。また演劇(声の張り)やドラマ(感情)より艶を重視しているような気がする', '声の装飾が多く、角、エッジが立っている', '驚き、動揺の表現が極端で独特。特に低年齢の女性キャラクターに多い', '映画吹替やナレーションとも微妙な違いがあるように思い、なぜかと考えるとモノローグ的な声の薄膜というかベールがかかっているような感じがするのが映画と、俯瞰的ではなく主観的な話し方であるのがナレーションと異なるアニメらしさだと思った']"
A145,50s or older,Male,Medium,Emotional Explicitness,Consistently answers 'emotional expression is rich/certain',"['キャラクターの感情表現の豊かさ', 'キャラクターがはっきりしている', '感情表現が豊かなこと', '際立つ個性', 'キャラが立っていること', '感情表現がはっきりしていて、ややオーバー', '話の抑揚がオーバー気味。', 'キャラクターがはっきりしている。', '感情表現が豊か。']"
A146,40s,Female,High,Articulation Clarity,Emphasizes articulatory clarity as 'each phoneme/syllable being easy to hear',['声にハリやツヤがあり１音１音が聞き取りやすい。']
A147,50s or older,Female,Medium,Articulation Clarity,Mentions 'good diction/articulation' before acting ability,"['抑揚が大きく、活舌がとても良い点。', '滑舌が良い、声だけでも感情の表現がはっきりとわかる演技力。', '滑舌がよく、演技がかった喋り方である。']"
A148,40s,Female,Medium,Prosodic Salience,Repeatedly mentions prosodic characteristics of 'distinct accent' and 'having intonation',"['声がいい事と、何か意味ありげな表現がされているように思います。', '間を大事に発言していること。', 'アクセントがはっきりしている。', '感情がこもっていること。', '丁寧な発音。', 'アクセントが効いている。', '抑揚があること。']"
A149,50s or older,Female,High,Emotional Explicitness,Emphasizes expressiveness of 'emotion/expression being conveyed through voice alone',"['目をつぶっていても、キャラクターの抑揚が思い浮かぶ', '声を聞くだけでそのキャラクターの感情が伝わってくる。', '一音ずつはっきりと聞こえる、伝わる。美声', '目を瞑っても声の表現だけでそのシーンが思い浮かぶ。', '抑揚を表現しつつ1音が聞き取りやすい', 'キャラクターと発声の融合性', '言葉を伝えるだけではなく、そのキャラクターの感情も表現されている', 'その1文だけで感情、表情、光景が思い描ける', 'その台詞だけでキャラクターの表情や感情が伝わる・思い浮かぶ', '目を閉じて聞くとその情景が思い浮かぶ', '感情豊かな表現力', '一音一音の間が絶妙で完璧に聞き取れる']"
A150,40s,Male,Low,Prosodic Salience,Identifies 'intentionally adding intonation' as the main characteristic,"['ハキハキとした口調で語りかける、喜怒哀楽がはっきりした口調でセリフを発することがアニメらしいと感じます。', '話者の発音や発声が台本を読んでいるような雰囲気だったり、セリフに意図的な抑揚をつけて視聴者の注目を集めようとしたりしている。', '台本に書かれているセリフを話していたり、抑揚のあるセリフが頻繁に出てきたりします。', '普段の日常で使うような会話、抑揚のあるセリフなどが多い']"
A151,40s,Female,High,Prosodic Salience,Emphasizes 'wide intonation range' before clarity across all responses,"['抑揚が大きい、活舌がはっきりしている', '抑揚が大きくはっきりしている、滑舌がいい', '抑揚が大きく、声がはっきりしていて聞き取りやすい', '抑揚が大きく、言葉の1つ1つがはっきりしていて聞き取りやすい']"
A152,40s,Male,High,Timbre Difference,Repeatedly mentions the physical characteristic of 'distinctive timbre and breath (breathing sounds)',"['途中保存でエラーが発生して進行不能になりました。', '芝居がかった話し方や、話す時の息使いが独特な所です。', '喋る時の息遣いや声質が独特で特徴的なところです。', '発話する時の息使いや声の抑揚のつけ方が独特な所です。\r\n\r\n25個中12個ほど作業を行ったのですが、自動保存にエラーが発生し進行不能になりました。', '声質が独特だったり、芝居がかった話し方をしている', '声質や息使いが独特だったり、芝居がかった話し方をしている', '芝居がかった話し方や独特の声質', '声の抑揚が特徴的だったり、芝居がかった話し方', '息遣いと声質が独特', '声質や息遣いが独特', '声質と息遣いが独特']"
A153,30s,Male,Medium,Emotional Explicitness,Emphasizes expressive intent in 'clear emotional expression using excessive intonation',['デフォルメされている表現を使って伝えたいメッセージやストーリーなどを視覚的に理解しやすくしている。音声の部分ではキャラクターの特徴を表現したりすために、過度な抑揚を付けたり逆に平坦にしたりの分かりやすい感情表現をしている。']
A154,50s or older,Male,Medium,Timbre Difference,Emphasizes 'non-everyday vocalization' and 'non-everyday quality of the speech style',"['話し方の非日常感', '大げさな表現感', '日常では聞かない言い回しは多い', '非日常の発声']"
A155,50s or older,Male,High,Articulation Clarity,First mentions across all responses 'voice being more intelligible than live-action (clarity)',"['声質か実写ものより通る（くぐもらない）のと、内面の感情表現を実写ものより押し出してくる感じ', '声が実写物より通る（くぐもらない）感じ、実写物より声で表現しようとする感じが強い', '声が実写物より通る（くぐもらない）、声が実写物より感情表現が強くなる', '声が実写物より通る（くぐもらない）、声が実写物より感情を強く出している', '実写に比べて声の表現が大袈裟な感じになる、実写に比べて声が通る（くぐもらない）感じになる', '実写の場合に比べて表現が大袈裟な感じになる、実写の時に比べて声がはっきり通る（くぐもらない）感じになる']"
A156,40s,Male,High,Emotional Explicitness,Mainly mentions 'high expressiveness' and 'high acting ability',"['声に個性がある', '表現力が高い', '声に特徴がある', '演技力が高い', '個性がある', '個性が強い']"
A157,40s,Male,Medium,Prosodic Salience,Presents 'having clear and distinct intonation' as the reason,['抑揚がありはっきりしている']
A158,40s,Female,Medium,Emotional Explicitness,Mentions 'certain/clear emotions' before clarity,"['感情がはっきりとし、聴きやすい声', '声が聞きとりやすく、抑揚がはっきりとしている']"
A159,40s,Male,Medium,Prosodic Salience,Points to the prosodic characteristic of 'large pitch range / extreme intonation swings',['セリフ内の、抑揚の大小の落差が大きい']
A160,40s,Male,High,Emotional Explicitness,Emphasizes symbolic expressiveness of 'the voice itself functioning as an emotional icon',['声そのものが感情アイコンとして機能している。']
A161,40s,Male,High,Emotional Explicitness,Cites 'emotions being easy to understand' as the basis for character immersion,"['内容は現実離れしてロマンがあること\r\nキャラに合った声優の声や逆にギャップあったり\r\n最終的にはキャラと声がイメージと一致し親しみやすくなるのがアニメの醍醐味だと思います。', '感情が分かりやすくストーリーにロマンがある\r\nキャラと声優の声や話し方の一致すること', '現実とは違ったロマンがあり見ているうちに声優の声や話し方がキャラと一致すること']"
A162,50s or older,Male,Medium,Emotional Explicitness,Views 'dialogue strongly infused with emotion' as the core,['現実的な会話のようではなく、喜怒哀楽などの感情が強めに入った台詞やナレーションのことだと思います。']
A163,40s,Male,Medium,Emotional Explicitness,Emphasizes 'intentional/deliberate' and 'exaggerated' feeling,['わざとらしい感じ。大げさな感じ。']
A164,40s,Male,Medium,Prosodic Salience,Points to the prosodic characteristic of 'extreme pitch range',['声の高低差が極端なところ']
A165,40s,Male,High,Timbre Difference,First mentions 'the timbre itself being good/pleasing',"['声質そのものがよく、セリフも仰々しい。', '声質が個性的で、抑揚がかなり仰々しい。かなり大袈裟に表現すること。']"
A166,30s,Male,High,Prosodic Salience,Cites 'intonated delivery' and 'exaggerated dynamic contrast' as reasons,['抑揚がついている。声のメリハリが誇張されている。']
A167,40s,Male,High,Timbre Difference,Commonly points to the timbre being 'anime voice quality',"['少し大仰な感じがする演技', 'アニメ声', '過剰に演技っぽい', '声質がアニメ声', '特徴的なアニメ声', '普通の人とはかけ離れた声']"
A168,40s,Female,Medium,Emotional Explicitness,Emphasizes 'emotionally charged speech style' and 'being emotional',"['感情がこもった話し方、抑揚が強く、一言一句しっかりと聞こえる。', '人間がいつもと違う発声方法で、抑揚をつけて表現している話ことばの事。', '抑揚がハッキリしていてやや大げさで感情的であること。']"
A169,50s or older,Male,High,Timbre Difference,Presents the unique timbral interpretation of 'sound pressure that makes scenery visible through speech',['音圧が一様で、言葉によってその景色が見えるもの。']
A170,40s,Male,High,Articulation Clarity,First emphasizes the clarity of 'every word being clearly perceived',"['セリフを読む声の中に非日常、非現実さを感じる事', '人物の感情や、その強弱にかかわらず全ての言葉がはっきりと認識できる事', '現実味の無いかっこよさ、可愛らしさを感じる声、またはセリフの読み方', '発音がしっかりして、言葉全てがはっきりと伝わり理解できる', '息遣いが伝わるような声、読み方', 'どのような感情表現でも言葉がはっきりと認識できる', '感情表現に非現実さを感じる', '言葉が響くように感じられる声']"
A171,50s or older,Female,Medium,Articulation Clarity,Cites 'absence of hesitation/stumbling' as fluency and clarity,['よどみがない']
A172,40s,Male,Low,Timbre Difference,First mentions across all responses 'timbre not normally heard in everyday life',"['普段聞かないような声質と、声の震えがほとんどない。', '普段聞かないような声質と、声の震えがほとんどない。\r\n感情表現が少し大げさ。']"
A173,30s,Male,High,Articulation Clarity,Frequently mentions 'being clearly audible/understandable' before emotion,"['感情と抑揚がはっきりしていて、日常会話、テレビのアナウンス等とは明確に区別でき、その上で「かわいい」「かっこいい」などはっきりと声のイメージが湧き出てくるもの', '話し声などよりも抑揚があって喜怒哀楽がはっきりしている。', '声に迫力があってはっきりと聞き取ることができて感情も分かりやすい。', '感情や抑揚がはっきりしていて何を言っているかはっきり分かる。', '発音がはっきりしており、感情もよく分かり、抑揚がはっきりしていること。', 'S37', '何を言っているかがはっきりと分かり、なおかつどんな感情かもはっきりと分かること。', '１音１音がはっきりと聴き取ることができ、ユニークな声であること。']"
A174,50s or older,Male,High,Emotional Explicitness,Points to acting ability of 'clearly defined dialogue dynamics with an over-the-top feeling',"['非現実的なストーリー。', '個性的なキャラクターと奇抜なストーリー', '奇想天外な展開と期待感', '目を奪われるキャラクターの存在感。', '歯切れの良い台詞回しと展開の意外性。', '台詞の強弱が明確でオーバーな感じがある。', 'キャラクター同士の言葉の掛け合いの巧みさ。']"
A175,40s,Male,Low,Temporal Control,Emphasizes breath control of 'deliberately inhaling and exhaling',['喋る前や終わりにわざとらしく息を吸ったり吐く。一文字一文字はっきりと喋る。現実の普段の会話では発さない様な喋り方など、実写の芝居だと大根も大根な大袈裟なヘンテコな演技。']
A176,50s or older,Male,Low,Prosodic Salience,Cites 'wide intonation range and exaggerated' as the reason,"['抑揚が大きくおおげさ。女性ならかわいい性質。', '抑揚が大きく大げさでわざとらしい']"
A177,50s or older,Male,Medium,Timbre Difference,First mentions 'distinctive timbre',['声質が独特・訓練された声優の声・はっきりとした口調']
A178,40s,Male,Low,Prosodic Salience,Identifies 'clearly exaggerated intonation' as the core,['通常よりも明らかに誇張した抑揚']
A179,40s,Female,Medium,Emotional Explicitness,Emphasizes 'immersion through the voice actor's expressiveness and intonated voice',"['声優さんの抑揚のある声と作り込まれた映像で、どっぷり入り込めるもの。', '各々のキャラクターがたっていること。', '現実逃避ができる空想空間。', '女の子の声がかわいくて癒される。', '何も考えずに没頭できる気楽さがあること。', '大人と子供の世界観を行ったり来たりする展開。', '声優さんの力量ひとつで見違える作品になりえる。', '愛すべきキャラクターが多い。', '現実から意識を遠ざけることのできる娯楽。', '声優さんの表現力で、より作品に没頭できるコンテンツ。']"
A180,50s or older,Male,Medium,Emotional Explicitness,Points to the performance characteristic of 'speaking slightly exaggerated',"['少し大げさにしゃべる、どちらかと言えば子どもっぽい感じ', '芝居がかっていて、少しおおげさな感じがする']"
A181,30s,Male,Medium,Articulation Clarity,Presents the short reason of 'certain/clear (clarity)',['はっきりしている']
A182,40s,Male,Medium,Articulation Clarity,Cites 'clear/firm speech style' as the clarity reason,['口調がはっきりしている']
A183,40s,Male,Medium,Emotional Explicitness,Most frequently mentions 'emotional expression being more over-the-top than reality',"['抑揚のハッキリした声\r\n性格や喋り方のキャラ付けが分かりやすい\r\nよく通る声だが、ナレーション的ではない', '抑揚を付けて、セリフをハッキリ発音する。\r\nさりげなく、カッコつけた喋り方をする。', '若者や女性キャラは透き通った声。\r\n老人は過度にかすれた声。\r\n感情表現が現実より豊か。', 'よく通る聞き取りやすい声\r\n感情表現が少しオーバー', 'よく通る個性のある声質\r\n感情表現が豊か\r\n息遣いなどで緊迫感を強調', '感情表現が現実よりオーバー\r\nよく通るハッキリした声', 'オーバーな感情表現、よく通る声', '感情表現がオーバー、噛まない、よく通る声', '発声が丁寧。感情表現が豊か。']"
A184,30s,Male,High,Emotional Explicitness,Explains 'expressing emotion through voice tone' as the reason,"['声のトーンで感情を表現している。キャラごとの独特な口調がある。', '声のトーンで感情を表現する、キャラの特徴を元に表現する']"
A185,40s,Female,Medium,Emotional Explicitness,Emphasizes the performance aspect of 'being immersed in the role',"['抑揚があること。', '自信があるような声。', '少しくせがある。', '役になりきっている。', '声に個性がある。']"
A186,30s,Female,Low,Prosodic Salience,Points to the characteristic of 'speaking with intonation',['オタクっぽい声。抑揚をつけて話される。']
A187,40s,Female,Medium,Prosodic Salience,Mentions 'wide intonation range' before diction/articulation,"['抑揚がはっきりしていて、声のボリュームが大きい', '抑揚が大きく、活舌がいい', '抑揚が大きい、活舌がいい、声のボリュームが大きい']"
